RS_number	rs13041756	rs2268078	rs76811102	rs4810426	rs191830490	rs1800961	rs11696357	rs560716466	rs6063048	rs11699802	rs34454109	rs6070625	rs862016	rs6011155	rs59944054
rs13041756	1.0	0.005	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.001	0.001	0.002	0.003
rs2268078	0.005	1.0	0.003	0.0	0.0	0.001	0.002	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
rs76811102	0.001	0.003	1.0	0.005	0.0	0.001	0.009	0.0	0.004	0.003	0.0	0.0	0.002	0.002	0.0
rs4810426	0.001	0.0	0.005	1.0	0.001	0.002	0.041	0.0	0.0	0.002	0.0	0.0	0.0	0.003	0.001
rs191830490	0.001	0.0	0.0	0.001	1.0	0.0	0.001	0.0	0.003	0.001	0.001	0.0	0.0	0.001	0.002
rs1800961	0.001	0.001	0.001	0.002	0.0	1.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.001
rs11696357	0.0	0.002	0.009	0.041	0.001	0.0	1.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.0
rs560716466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.001	0.0	0.001	0.0	0.001	0.0
rs6063048	0.0	0.001	0.004	0.0	0.003	0.001	0.001	0.0	1.0	0.008	0.002	0.001	0.001	0.003	0.0
rs11699802	0.001	0.0	0.003	0.002	0.001	0.0	0.0	0.001	0.008	1.0	0.0	0.0	0.002	0.0	0.0
rs34454109	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.002	0.0	1.0	0.0	0.0	0.0	0.0
rs6070625	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	1.0	0.013	0.0	0.0
rs862016	0.001	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.0	0.013	1.0	0.004	0.001
rs6011155	0.002	0.0	0.002	0.003	0.001	0.001	0.001	0.001	0.003	0.0	0.0	0.0	0.004	1.0	0.014
rs59944054	0.003	0.0	0.0	0.001	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.014	1.0

