,Chr,SNP1,SNP2,Correlation
0,chr10,rs177045,rs61850200,0.204
1,chr10,rs61850200,rs41277236,0.116
2,chr10,rs10882101,rs1112718,0.699
3,chr11,rs234853,rs2237895,0.237
4,chr13,rs9569864,rs9563615,0.456
5,chr2,rs2249105,rs2052261,0.729
6,chr2,rs11688931,rs11688682,0.161
7,chr3,rs6780171,rs150111048,1.0
8,chr3,rs6780171,rs11717959,0.373
9,chr3,rs150111048,rs11717959,0.373
10,chr4,rs1801212,rs10937721,0.587
11,chr5,rs138337556,rs78408340,0.561
12,chr8,rs13262861,rs4736819,0.236
13,chr9,rs10811660,rs10757283,0.258
